id,date,category,sub_category,amount,account,description,created_at
113,2025-12-30,Transportation,,2.01,,EasyPark,
114,2025-12-30,Restaurants,,157.5,Card,Sushi,
115,2025-12-31,Groceries,,25.0,Card,Struffoli,
116,2026-01-01,Claudia,,26.95,,Poke,
117,2026-01-02,Coffe,,12.0,,,
118,2026-01-05,Subscriptions,,10.0,,Google,
119,2026-01-05,Coffe,,12.5,,,
120,2026-01-05,Shopping,,580.0,Cash,K-ring,
121,2026-01-07,Restaurants,,23.82,,,
122,2026-01-08,Going out,,15.7,,,
123,2026-01-11,Going out,,30.7,,Uci cinemaa,
124,2026-01-12,Coffe,,15.0,,,
125,2026-01-15,Other,,6.5,,,
126,2026-01-15,Claudia,,283.4,Credit,30percent Olympic SPA,
127,2026-01-17,Coffe,,11.0,,,
128,2026-01-17,Subscriptions,,5.99,,Glovo,
129,2026-01-17,Claudia,,60.55,,Sushi,
130,2026-01-17,Lost,,1.0,,,
131,2026-01-18,Claudia,,25.4,,Pizza,2026-01-22T11:30:24
132,2026-01-19,Transportation,,42.75,,AutoGrill,2026-01-22T11:30:57
133,2026-01-20,Transportation,,0.84,,EasyPark,2026-01-22T11:31:37
134,2026-01-20,Travel,,40.3,,Cibo,2026-01-22T11:31:57
135,2026-01-21,Claudia,,881.6,,SpaHotelDolomiti,2026-01-22T11:32:38
136,2026-01-21,Other,,15.8,,,2026-01-22T11:32:54
137,2026-01-22,Eating out,,30.4,,Sushi,2026-01-22T20:37:08
138,2026-01-25,Travel,,185.4,,Sestriere ski,
139,2026-01-25,Eating out,,40.72,,Sushi,
140,2026-01-26,Other,,15.0,,,2026-01-26T18:03:20
141,2026-01-27,Other,,19.95,,Amazon,2026-01-27T18:39:18
142,2026-01-27,Other,,7.0,,,2026-01-27T18:39:51
